1	ого	ой	ADJ	_	Case=Gen|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@psg1987f-words#@psg1987f#108.64#108.929
2	/	/	PUNCT	_	_	_	_	_	@psg1987f-words#@psg1987f#108.929#109.218
3	прям	пре	NOUN	_	Animacy=Inan|Case=Dat|Gender=Neut|Number=Plur	_	_	_	@psg1987f-words#@psg1987f#109.218#109.507
4	сразу	сразу	ADV	_	Degree=Pos	_	_	_	@psg1987f-words#@psg1987f#109.507#109.796
5	так	так	ADV	_	Degree=Pos	_	_	_	@psg1987f-words#@psg1987f#109.796#110.085
6	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@psg1987f-words#@psg1987f#110.085#110.353
7	с	с	ADP	_	_	_	_	_	@psg1987f-words#@psg1987f#110.353#110.621
8	удовольствием	удовольствие	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	_	_	_	@psg1987f-words#@psg1987f#110.621#110.89
9	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@psg1987f-words#@psg1987f#110.89#111.188
10	могу	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@psg1987f-words#@psg1987f#111.188#111.486
11	об	о	ADP	_	_	_	_	_	@psg1987f-words#@psg1987f#111.486#111.784
12	этом	этот	PRON	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@psg1987f-words#@psg1987f#111.784#112.082
13	часами	час	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Plur	_	_	_	@psg1987f-words#@psg1987f#112.082#112.38
14	да	да	PART	_	_	_	_	_	@psg1987f-words#@psg1987f#116.86#117.153
15	/	/	PUNCT	_	_	_	_	_	@psg1987f-words#@psg1987f#117.153#117.446
16	абсолютно	абсолютно	ADV	_	Degree=Pos	_	_	_	@psg1987f-words#@psg1987f#117.446#117.74
17	и	и	CCONJ	_	_	_	_	_	@psg1987f-words#@psg1987f#117.75#118.115
18	причем	причем	ADV	_	Degree=Pos	_	_	_	@psg1987f-words#@psg1987f#118.115#118.48
19	/	/	PUNCT	_	_	_	_	_	@psg1987f-words#@psg1987f#118.48#118.845
20	так	так	ADV	_	Degree=Pos	_	_	_	@psg1987f-words#@psg1987f#118.845#119.21
21	получилось	получиться	VERB	_	Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@psg1987f-words#@psg1987f#119.21#119.575
22	/	/	PUNCT	_	_	_	_	_	@psg1987f-words#@psg1987f#119.575#119.94
23	что	что	SCONJ	_	_	_	_	_	@psg1987f-words#@psg1987f#119.94#120.305
24	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@psg1987f-words#@psg1987f#120.305#120.67
25	/	/	PUNCT	_	_	_	_	_	@psg1987f-words#@psg1987f#120.67#121.035
26	вообще	вообще	ADV	_	Degree=Pos	_	_	_	@psg1987f-words#@psg1987f#121.035#121.4
27	ммм	мм	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@psg1987f-words#@psg1987f#121.4#121.765
28	/	/	PUNCT	_	_	_	_	_	@psg1987f-words#@psg1987f#121.765#122.13
29	самый	самый	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@psg1987f-words#@psg1987f#122.13#122.495
30	/	/	PUNCT	_	_	_	_	_	@psg1987f-words#@psg1987f#122.495#122.86
31	топ	топ	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@psg1987f-words#@psg1987f#122.86#123.225
32	оф	оф	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	_	_	_	@psg1987f-words#@psg1987f#123.225#123.59
33	зе	за	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@psg1987f-words#@psg1987f#123.59#123.955
34	топ	топ	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	_	_	_	@psg1987f-words#@psg1987f#123.955#124.32
35	ааммм	ааммма	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	_	_	_	@psg1987f-words#@psg1987f#124.32#124.7
36	шоу	шоу	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@psg1987f-words#@psg1987f#124.7#125.14
37	азиатских	азиатский	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	_	_	_	@psg1987f-words#@psg1987f#125.14#125.58
38	причем	причем	CCONJ	_	_	_	_	_	@psg1987f-words#@psg1987f#125.58#126.005
39	/	/	PUNCT	_	_	_	_	_	@psg1987f-words#@psg1987f#126.005#126.43
40	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	@psg1987f-words#@psg1987f#126.43#126.855
41	/	/	PUNCT	_	_	_	_	_	@psg1987f-words#@psg1987f#126.855#127.28
42	видимо	видимо	ADV	_	Degree=Pos	_	_	_	@psg1987f-words#@psg1987f#127.28#127.705
43	/	/	PUNCT	_	_	_	_	_	@psg1987f-words#@psg1987f#127.705#128.13
44	особенно	особенно	ADV	_	Degree=Pos	_	_	_	@psg1987f-words#@psg1987f#128.13#128.555
45	повезло	везти	VERB	_	Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@psg1987f-words#@psg1987f#128.555#128.98
46	как	как	SCONJ	_	_	_	_	_	@psg1987f-words#@psg1987f#128.98#129.415
